name,s1_name,s1_type,s1_price,s2_name,s2_type,s2_price,s3_name,s3_type,s3_price,s4_name,s4_type,s4_price,stickers_json
"Desert Eagle | Tilted (Minimal Wear)","Sticker | Chompers","STICKER",22,"Sticker | Hypnoteyes (Holo)","STICKER",87,"","",,"","",,"[{""name"":""Sticker | Chompers"",""type"":""STICKER"",""price"":22},{""name"":""Sticker | Hypnoteyes (Holo)"",""type"":""STICKER"",""price"":87}]"
"StatTrak™ M4A4 | Magnesium (Well-Worn)","Sticker | CS20 Classic (Holo)","STICKER",87,"","",,"","",,"","",,"[{""name"":""Sticker | CS20 Classic (Holo)"",""type"":""STICKER"",""price"":87}]"
"StatTrak™ P250 | Ripple (Minimal Wear)","Sticker | Temperance","STICKER",10,"Sticker | StarLadder (Holo) | Berlin 2019","STICKER",87,"Sticker | flamie | Berlin 2019","STICKER",11,"","",,"[{""name"":""Sticker | Temperance"",""type"":""STICKER"",""price"":10},{""name"":""Sticker | StarLadder (Holo) | Berlin 2019"",""type"":""STICKER"",""price"":87},{""name"":""Sticker | flamie | Berlin 2019"",""type"":""STICKER"",""price"":11}]"
"M4A4 | Urban DDPAT (Minimal Wear)","Sticker | Plopski (Holo) | Antwerp 2022","STICKER",78,"","",,"","",,"","",,"[{""name"":""Sticker | Plopski (Holo) | Antwerp 2022"",""type"":""STICKER"",""price"":78}]"
"StatTrak™ Glock-18 | Off World (Minimal Wear)","Sticker | Spirit (Holo) | 2020 RMR","STICKER",75,"Sticker | Spirit | 2020 RMR","STICKER",10,"Sticker | Spirit | 2020 RMR","STICKER",10,"Sticker | Spirit | 2020 RMR","STICKER",10,"[{""name"":""Sticker | Spirit (Holo) | 2020 RMR"",""type"":""STICKER"",""price"":75},{""name"":""Sticker | Spirit | 2020 RMR"",""type"":""STICKER"",""price"":10},{""name"":""Sticker | Spirit | 2020 RMR"",""type"":""STICKER"",""price"":10},{""name"":""Sticker | Spirit | 2020 RMR"",""type"":""STICKER"",""price"":10}]"
"Desert Eagle | Light Rail (Field-Tested)","Sticker | Booth","STICKER",10,"Sticker | My Other Awp","STICKER",65,"Sticker | My Other Awp","STICKER",65,"Sticker | BLAST.tv (Holo) | Paris 2023","STICKER",23,"[{""name"":""Sticker | Booth"",""type"":""STICKER"",""price"":10},{""name"":""Sticker | My Other Awp"",""type"":""STICKER"",""price"":65},{""name"":""Sticker | My Other Awp"",""type"":""STICKER"",""price"":65},{""name"":""Sticker | BLAST.tv (Holo) | Paris 2023"",""type"":""STICKER"",""price"":23},{""name"":""Sticker | STYKO (Glitter) | Copenhagen 2024"",""type"":""STICKER"",""price"":18}]"
"M4A1-S | Wash me plz (Factory New)","Sticker | Say Cheese (Holo)","STICKER",65,"","",,"","",,"","",,"[{""name"":""Sticker | Say Cheese (Holo)"",""type"":""STICKER"",""price"":65}]"
"M4A4 | Turbine (Field-Tested)","Sticker | G2 (Holo) | 2020 RMR","STICKER",22,"Sticker | Astralis (Holo) | 2020 RMR","STICKER",65,"","",,"","",,"[{""name"":""Sticker | G2 (Holo) | 2020 RMR"",""type"":""STICKER"",""price"":22},{""name"":""Sticker | Astralis (Holo) | 2020 RMR"",""type"":""STICKER"",""price"":65}]"
"MAC-10 | Light Box (Factory New)","Sticker | Team Spirit | Shanghai 2024","STICKER",10,"Sticker | MOUZ | Shanghai 2024","STICKER",10,"Sticker | BIG | Shanghai 2024","STICKER",10,"Sticker | Say Cheese (Holo)","STICKER",65,"[{""name"":""Sticker | Team Spirit | Shanghai 2024"",""type"":""STICKER"",""price"":10},{""name"":""Sticker | MOUZ | Shanghai 2024"",""type"":""STICKER"",""price"":10},{""name"":""Sticker | BIG | Shanghai 2024"",""type"":""STICKER"",""price"":10},{""name"":""Sticker | Say Cheese (Holo)"",""type"":""STICKER"",""price"":65}]"
"P250 | Ripple (Factory New)","Sticker | Liquid (Holo) | 2020 RMR","STICKER",65,"Sticker | Team Liquid | Antwerp 2022","STICKER",10,"Sticker | Team Liquid | Antwerp 2022","STICKER",10,"Sticker | Team Liquid (Glitter) | Shanghai 2024","STICKER",22,"[{""name"":""Sticker | Liquid (Holo) | 2020 RMR"",""type"":""STICKER"",""price"":65},{""name"":""Sticker | Team Liquid | Antwerp 2022"",""type"":""STICKER"",""price"":10},{""name"":""Sticker | Team Liquid | Antwerp 2022"",""type"":""STICKER"",""price"":10},{""name"":""Sticker | Team Liquid (Glitter) | Shanghai 2024"",""type"":""STICKER"",""price"":22},{""name"":""Sticker | From The Deep"",""type"":""STICKER"",""price"":14}]"
"StatTrak™ Glock-18 | Umbral Rabbit (Battle-Scarred)","Sticker | Hippocamp (Holo)","STICKER",65,"Sticker | Toxic","STICKER",44,"","",,"","",,"[{""name"":""Sticker | Hippocamp (Holo)"",""type"":""STICKER"",""price"":65},{""name"":""Sticker | Toxic"",""type"":""STICKER"",""price"":44}]"
"Desert Eagle | Tilted (Minimal Wear)","Sticker | BLAST.tv | Paris 2023","STICKER",10,"Sticker | bLitz (Holo) | Copenhagen 2024","STICKER",44,"Sticker | BLAST.tv | Paris 2023","STICKER",10,"","",,"[{""name"":""Sticker | BLAST.tv | Paris 2023"",""type"":""STICKER"",""price"":10},{""name"":""Sticker | bLitz (Holo) | Copenhagen 2024"",""type"":""STICKER"",""price"":44},{""name"":""Sticker | BLAST.tv | Paris 2023"",""type"":""STICKER"",""price"":10}]"
"USP-S | Check Engine (Minimal Wear)","Sticker | Aleksib (Glitter) | Antwerp 2022","STICKER",10,"Sticker | karrigan (Glitter) | Shanghai 2024","STICKER",10,"Sticker | karrigan | Rio 2022","STICKER",10,"Sticker | Fnatic (Holo) | 2020 RMR","STICKER",44,"[{""name"":""Sticker | Aleksib (Glitter) | Antwerp 2022"",""type"":""STICKER"",""price"":10},{""name"":""Sticker | karrigan (Glitter) | Shanghai 2024"",""type"":""STICKER"",""price"":10},{""name"":""Sticker | karrigan | Rio 2022"",""type"":""STICKER"",""price"":10},{""name"":""Sticker | Fnatic (Holo) | 2020 RMR"",""type"":""STICKER"",""price"":44},{""name"":""Sticker | 100 Thieves (Holo) | 2020 RMR"",""type"":""STICKER"",""price"":22}]"
"AK-47 | VariCamo Grey (Minimal Wear)","Sticker | STYKO (Holo) | Paris 2023","STICKER",40,"","",,"","",,"","",,"[{""name"":""Sticker | STYKO (Holo) | Paris 2023"",""type"":""STICKER"",""price"":40}]"
"AK-47 | Uncharted (Minimal Wear)","Sticker | Ancient Marauder","STICKER",22,"Sticker | Coiled Strike","STICKER",39,"Sticker | Coiled Strike (Holo)","STICKER",1.53,"Sticker | Coiled Strike","STICKER",39,"[{""name"":""Sticker | Ancient Marauder"",""type"":""STICKER"",""price"":22},{""name"":""Sticker | Coiled Strike"",""type"":""STICKER"",""price"":39},{""name"":""Sticker | Coiled Strike (Holo)"",""type"":""STICKER"",""price"":1.53},{""name"":""Sticker | Coiled Strike"",""type"":""STICKER"",""price"":39},{""name"":""Sticker | Vitality | Shanghai 2024"",""type"":""STICKER"",""price"":10}]"
"P90 | Chopper (Battle-Scarred)","Sticker | Virtus.pro | 2020 RMR","STICKER",10,"Sticker | BIG (Holo) | 2020 RMR","STICKER",34,"Sticker | Virtus.pro | 2020 RMR","STICKER",10,"Sticker | Virtus.pro | 2020 RMR","STICKER",10,"[{""name"":""Sticker | Virtus.pro | 2020 RMR"",""type"":""STICKER"",""price"":10},{""name"":""Sticker | BIG (Holo) | 2020 RMR"",""type"":""STICKER"",""price"":34},{""name"":""Sticker | Virtus.pro | 2020 RMR"",""type"":""STICKER"",""price"":10},{""name"":""Sticker | Virtus.pro | 2020 RMR"",""type"":""STICKER"",""price"":10}]"
"SSG 08 | Abyss (Minimal Wear)","Sticker | FalleN | Copenhagen 2024","STICKER",25,"Sticker | FURIA (Holo) | 2020 RMR","STICKER",22,"","",,"","",,"[{""name"":""Sticker | FalleN | Copenhagen 2024"",""type"":""STICKER"",""price"":25},{""name"":""Sticker | FURIA (Holo) | 2020 RMR"",""type"":""STICKER"",""price"":22}]"
"Desert Eagle | Light Rail (Battle-Scarred)","Sticker | BLAST.tv (Holo) | Paris 2023","STICKER",23,"Sticker | Natus Vincere | Paris 2023","STICKER",10,"","",,"","",,"[{""name"":""Sticker | BLAST.tv (Holo) | Paris 2023"",""type"":""STICKER"",""price"":23},{""name"":""Sticker | Natus Vincere | Paris 2023"",""type"":""STICKER"",""price"":10}]"
"Galil AR | Tuxedo (Field-Tested)","Sticker | BLAST.tv (Holo) | Paris 2023","STICKER",23,"","",,"","",,"","",,"[{""name"":""Sticker | BLAST.tv (Holo) | Paris 2023"",""type"":""STICKER"",""price"":23}]"
"MAC-10 | Sakkaku (Field-Tested)","Sticker | BLAST.tv (Holo) | Paris 2023","STICKER",23,"Sticker | FURIA | Paris 2023","STICKER",10,"Sticker | 9INE (Glitter) | Paris 2023","STICKER",21,"","",,"[{""name"":""Sticker | BLAST.tv (Holo) | Paris 2023"",""type"":""STICKER"",""price"":23},{""name"":""Sticker | FURIA | Paris 2023"",""type"":""STICKER"",""price"":10},{""name"":""Sticker | 9INE (Glitter) | Paris 2023"",""type"":""STICKER"",""price"":21}]"
"CZ75-Auto | Tigris (Battle-Scarred)","Sticker | Gen.G (Holo) | 2020 RMR","STICKER",22,"","",,"","",,"","",,"[{""name"":""Sticker | Gen.G (Holo) | 2020 RMR"",""type"":""STICKER"",""price"":22}]"
"Desert Eagle | Corinthian (Minimal Wear)","Sticker | fer (Glitter) | Antwerp 2022","STICKER",21,"Sticker | Vitality (Glitter) | Antwerp 2022","STICKER",15,"Sticker | BIG (Glitter) | Antwerp 2022","STICKER",12,"Sticker | Heroic (Holo) | 2020 RMR","STICKER",22,"[{""name"":""Sticker | fer (Glitter) | Antwerp 2022"",""type"":""STICKER"",""price"":21},{""name"":""Sticker | Vitality (Glitter) | Antwerp 2022"",""type"":""STICKER"",""price"":15},{""name"":""Sticker | BIG (Glitter) | Antwerp 2022"",""type"":""STICKER"",""price"":12},{""name"":""Sticker | Heroic (Holo) | 2020 RMR"",""type"":""STICKER"",""price"":22}]"
"Desert Eagle | Light Rail (Well-Worn)","Sticker | Natus Vincere | 2020 RMR","STICKER",10,"Sticker | Gen.G (Holo) | 2020 RMR","STICKER",22,"Sticker | Ninjas in Pyjamas | 2020 RMR","STICKER",10,"","",,"[{""name"":""Sticker | Natus Vincere | 2020 RMR"",""type"":""STICKER"",""price"":10},{""name"":""Sticker | Gen.G (Holo) | 2020 RMR"",""type"":""STICKER"",""price"":22},{""name"":""Sticker | Ninjas in Pyjamas | 2020 RMR"",""type"":""STICKER"",""price"":10}]"
"M4A4 | Naval Shred Camo (Factory New)","Sticker | Heroic (Holo) | 2020 RMR","STICKER",22,"Sticker | Heroic (Holo) | 2020 RMR","STICKER",22,"","",,"","",,"[{""name"":""Sticker | Heroic (Holo) | 2020 RMR"",""type"":""STICKER"",""price"":22},{""name"":""Sticker | Heroic (Holo) | 2020 RMR"",""type"":""STICKER"",""price"":22}]"
"P2000 | Imperial (Minimal Wear)","Sticker | 100 Thieves (Holo) | 2020 RMR","STICKER",22,"","",,"","",,"","",,"[{""name"":""Sticker | 100 Thieves (Holo) | 2020 RMR"",""type"":""STICKER"",""price"":22}]"
"StatTrak™ Glock-18 | Wraiths (Field-Tested)","Sticker | FURIA (Holo) | 2020 RMR","STICKER",22,"","",,"","",,"","",,"[{""name"":""Sticker | FURIA (Holo) | 2020 RMR"",""type"":""STICKER"",""price"":22}]"
"StatTrak™ MP9 | Deadly Poison (Battle-Scarred)","Sticker | FURIA | 2020 RMR","STICKER",10,"Sticker | FURIA | Antwerp 2022","STICKER",10,"Sticker | FURIA (Holo) | 2020 RMR","STICKER",22,"Sticker | FURIA | Rio 2022","STICKER",10,"[{""name"":""Sticker | FURIA | 2020 RMR"",""type"":""STICKER"",""price"":10},{""name"":""Sticker | FURIA | Antwerp 2022"",""type"":""STICKER"",""price"":10},{""name"":""Sticker | FURIA (Holo) | 2020 RMR"",""type"":""STICKER"",""price"":22},{""name"":""Sticker | FURIA | Rio 2022"",""type"":""STICKER"",""price"":10}]"
"USP-S | Lead Conduit (Well-Worn)","Sticker | sh1ro | Antwerp 2022","STICKER",10,"Sticker | FURIA (Holo) | 2020 RMR","STICKER",22,"","",,"","",,"[{""name"":""Sticker | sh1ro | Antwerp 2022"",""type"":""STICKER"",""price"":10},{""name"":""Sticker | FURIA (Holo) | 2020 RMR"",""type"":""STICKER"",""price"":22}]"
"USP-S | Ticket to Hell (Minimal Wear)","Sticker | Heroic (Holo) | 2020 RMR","STICKER",22,"Sticker | TYLOO | 2020 RMR","STICKER",18,"","",,"","",,"[{""name"":""Sticker | Heroic (Holo) | 2020 RMR"",""type"":""STICKER"",""price"":22},{""name"":""Sticker | TYLOO | 2020 RMR"",""type"":""STICKER"",""price"":18}]"
"USP-S | Ticket to Hell (Minimal Wear)","Sticker | Vitality | 2020 RMR","STICKER",10,"Sticker | Vitality (Holo) | 2020 RMR","STICKER",22,"","",,"","",,"[{""name"":""Sticker | Vitality | 2020 RMR"",""type"":""STICKER"",""price"":10},{""name"":""Sticker | Vitality (Holo) | 2020 RMR"",""type"":""STICKER"",""price"":22}]"
"Desert Eagle | Light Rail (Field-Tested)","Sticker | Ninjas in Pyjamas (Holo) | 2020 RMR","STICKER",19,"","",,"","",,"","",,"[{""name"":""Sticker | Ninjas in Pyjamas (Holo) | 2020 RMR"",""type"":""STICKER"",""price"":19}]"
"StatTrak™ FAMAS | Survivor Z (Field-Tested)","Sticker | Fluxo | Paris 2023","STICKER",10,"Sticker | The MongolZ (Glitter) | Paris 2023","STICKER",10,"Sticker | TYLOO (Holo) | 2020 RMR","STICKER",1.09,"Sticker | TYLOO | 2020 RMR","STICKER",18,"[{""name"":""Sticker | Fluxo | Paris 2023"",""type"":""STICKER"",""price"":10},{""name"":""Sticker | The MongolZ (Glitter) | Paris 2023"",""type"":""STICKER"",""price"":10},{""name"":""Sticker | TYLOO (Holo) | 2020 RMR"",""type"":""STICKER"",""price"":1.09},{""name"":""Sticker | TYLOO | 2020 RMR"",""type"":""STICKER"",""price"":18}]"
"USP-S | Check Engine (Minimal Wear)","Sticker | Bad News Eagles (Holo) | Rio 2022","STICKER",1.69,"Sticker | Into The Breach | Paris 2023","STICKER",10,"Sticker | Into The Breach | Paris 2023","STICKER",10,"","",,"[{""name"":""Sticker | Bad News Eagles (Holo) | Rio 2022"",""type"":""STICKER"",""price"":1.69},{""name"":""Sticker | Into The Breach | Paris 2023"",""type"":""STICKER"",""price"":10},{""name"":""Sticker | Into The Breach | Paris 2023"",""type"":""STICKER"",""price"":10}]"
"Desert Eagle | Tilted (Minimal Wear)","Sticker | ZywOo (Holo) | Shanghai 2024","STICKER",5.43,"","",,"","",,"","",,"[{""name"":""Sticker | ZywOo (Holo) | Shanghai 2024"",""type"":""STICKER"",""price"":5.43}]"
"P90 | Grim (Factory New)","Sticker | Rush 4x20 (Holo)","STICKER",2.39,"","",,"","",,"","",,"[{""name"":""Sticker | Rush 4x20 (Holo)"",""type"":""STICKER"",""price"":2.39}]"
"Desert Eagle | Light Rail (Battle-Scarred)","Sticker | Zeusception (Holo)","STICKER",1.58,"","",,"","",,"","",,"[{""name"":""Sticker | Zeusception (Holo)"",""type"":""STICKER"",""price"":1.58}]"
"MAG-7 | Heat (Well-Worn)","Sticker | Handle With Care (Holo)","STICKER",1.31,"","",,"","",,"","",,"[{""name"":""Sticker | Handle With Care (Holo)"",""type"":""STICKER"",""price"":1.31}]"
"Desert Eagle | Urban Rubble (Field-Tested)","Sticker | Web Stuck","STICKER",87,"Sticker | oskar (Foil) | Berlin 2019","STICKER",65,"Sticker | Too Old for This","STICKER",17,"","",,"[{""name"":""Sticker | Web Stuck"",""type"":""STICKER"",""price"":87},{""name"":""Sticker | oskar (Foil) | Berlin 2019"",""type"":""STICKER"",""price"":65},{""name"":""Sticker | Too Old for This"",""type"":""STICKER"",""price"":17}]"
"Glock-18 | Block-18 (Field-Tested)","Sticker | exit (Foil) | Austin 2025","STICKER",66,"Sticker | FURIA (Foil) | Austin 2025","STICKER",27,"","",,"","",,"[{""name"":""Sticker | exit (Foil) | Austin 2025"",""type"":""STICKER"",""price"":66},{""name"":""Sticker | FURIA (Foil) | Austin 2025"",""type"":""STICKER"",""price"":27}]"
"Desert Eagle | Light Rail (Field-Tested)","Sticker | Obey SAS","STICKER",15,"Sticker | Lambda","STICKER",65,"Sticker | Chief (Foil)","STICKER",1.09,"","",,"[{""name"":""Sticker | Obey SAS"",""type"":""STICKER"",""price"":15},{""name"":""Sticker | Lambda"",""type"":""STICKER"",""price"":65},{""name"":""Sticker | Chief (Foil)"",""type"":""STICKER"",""price"":1.09}]"
"AK-47 | Olive Polycam (Factory New)","Sticker | Vitality (Foil) | Austin 2025","STICKER",22,"Sticker | ropz (Foil, Champion) | Austin 2025","STICKER",55,"Sticker | apEX (Champion) | Austin 2025","STICKER",10,"Sticker | ropz (Champion) | Austin 2025","STICKER",10,"[{""name"":""Sticker | Vitality (Foil) | Austin 2025"",""type"":""STICKER"",""price"":22},{""name"":""Sticker | ropz (Foil, Champion) | Austin 2025"",""type"":""STICKER"",""price"":55},{""name"":""Sticker | apEX (Champion) | Austin 2025"",""type"":""STICKER"",""price"":10},{""name"":""Sticker | ropz (Champion) | Austin 2025"",""type"":""STICKER"",""price"":10}]"
"Desert Eagle | Blue Ply (Minimal Wear)","Sticker | 100 Thieves (Foil) | 2020 RMR","STICKER",44,"Sticker | Team Liquid | Austin 2025","STICKER",10,"Sticker | FaZe Clan | Austin 2025","STICKER",24,"Sticker | M80 | Austin 2025","STICKER",10,"[{""name"":""Sticker | 100 Thieves (Foil) | 2020 RMR"",""type"":""STICKER"",""price"":44},{""name"":""Sticker | Team Liquid | Austin 2025"",""type"":""STICKER"",""price"":10},{""name"":""Sticker | FaZe Clan | Austin 2025"",""type"":""STICKER"",""price"":24},{""name"":""Sticker | M80 | Austin 2025"",""type"":""STICKER"",""price"":10},{""name"":""Sticker | 3DMAX | Austin 2025"",""type"":""STICKER"",""price"":10}]"
"M4A4 | Turbine (Field-Tested)","Sticker | Team Spirit (Foil) | Austin 2025","STICKER",22,"Sticker | Team Spirit | Austin 2025","STICKER",10,"Sticker | BLAST.tv | Austin 2025","STICKER",10,"Sticker | Aurora | Austin 2025","STICKER",10,"[{""name"":""Sticker | Team Spirit (Foil) | Austin 2025"",""type"":""STICKER"",""price"":22},{""name"":""Sticker | Team Spirit | Austin 2025"",""type"":""STICKER"",""price"":10},{""name"":""Sticker | BLAST.tv | Austin 2025"",""type"":""STICKER"",""price"":10},{""name"":""Sticker | Aurora | Austin 2025"",""type"":""STICKER"",""price"":10}]"
"Desert Eagle | Tilted (Minimal Wear)","Sticker | XANTARES (Foil) | Austin 2025","STICKER",18,"Sticker | Spectators","STICKER",10,"","",,"","",,"[{""name"":""Sticker | XANTARES (Foil) | Austin 2025"",""type"":""STICKER"",""price"":18},{""name"":""Sticker | Spectators"",""type"":""STICKER"",""price"":10}]"
"StatTrak™ M4A4 | Magnesium (Well-Worn)","Sticker | Team Liquid (Foil) | Austin 2025","STICKER",17,"","",,"","",,"","",,"[{""name"":""Sticker | Team Liquid (Foil) | Austin 2025"",""type"":""STICKER"",""price"":17}]"
"M4A4 | Urban DDPAT (Minimal Wear)","Sticker | Grayhound Gaming | Paris 2023","STICKER",10,"Sticker | Grayhound Gaming | Paris 2023","STICKER",10,"Sticker | The MongolZ | Paris 2023","STICKER",10,"Sticker | The MongolZ | Paris 2023","STICKER",10,"[{""name"":""Sticker | Grayhound Gaming | Paris 2023"",""type"":""STICKER"",""price"":10},{""name"":""Sticker | Grayhound Gaming | Paris 2023"",""type"":""STICKER"",""price"":10},{""name"":""Sticker | The MongolZ | Paris 2023"",""type"":""STICKER"",""price"":10},{""name"":""Sticker | The MongolZ | Paris 2023"",""type"":""STICKER"",""price"":10},{""name"":""Sticker | mzinho (Foil) | Austin 2025"",""type"":""STICKER"",""price"":14}]"
"Desert Eagle | Light Rail (Field-Tested)","Sticker | G2 Esports (Foil) | Austin 2025","STICKER",10,"","",,"","",,"","",,"[{""name"":""Sticker | G2 Esports (Foil) | Austin 2025"",""type"":""STICKER"",""price"":10}]"
"Galil AR | Connexion (Minimal Wear)","Sticker | MAJ3R (Foil) | Austin 2025","STICKER",10,"","",,"","",,"","",,"[{""name"":""Sticker | MAJ3R (Foil) | Austin 2025"",""type"":""STICKER"",""price"":10}]"
"Galil AR | Green Apple (Factory New)","Sticker | w0nderful (Foil) | Austin 2025","STICKER",10,"","",,"","",,"","",,"[{""name"":""Sticker | w0nderful (Foil) | Austin 2025"",""type"":""STICKER"",""price"":10}]"
"M4A1-S | Wash me plz (Factory New)","Sticker | FaZe Clan | Rio 2022","STICKER",10,"Sticker | FaZe Clan (Foil) | Austin 2025","STICKER",1.43,"","",,"","",,"[{""name"":""Sticker | FaZe Clan | Rio 2022"",""type"":""STICKER"",""price"":10},{""name"":""Sticker | FaZe Clan (Foil) | Austin 2025"",""type"":""STICKER"",""price"":1.43}]"
"StatTrak™ M4A4 | Magnesium (Well-Worn)","Sticker | insani (Foil) | Austin 2025","STICKER",10,"","",,"","",,"","",,"[{""name"":""Sticker | insani (Foil) | Austin 2025"",""type"":""STICKER"",""price"":10}]"
"Glock-18 | Catacombs (Minimal Wear)","Sticker | Calyx (Foil) | London 2018","STICKER",8.7,"Sticker | BIG | London 2018","STICKER",1.53,"","",,"","",,"[{""name"":""Sticker | Calyx (Foil) | London 2018"",""type"":""STICKER"",""price"":8.7},{""name"":""Sticker | BIG | London 2018"",""type"":""STICKER"",""price"":1.53}]"
"P90 | Elite Build (Minimal Wear)","Sticker | Silent Ninja (Foil)","STICKER",1.09,"","",,"","",,"","",,"[{""name"":""Sticker | Silent Ninja (Foil)"",""type"":""STICKER"",""price"":1.09}]"
"M4A4 | Turbine (Field-Tested)","Sticker | Complexity Gaming (Glitter) | Shanghai 2024","STICKER",48,"","",,"","",,"","",,"[{""name"":""Sticker | Complexity Gaming (Glitter) | Shanghai 2024"",""type"":""STICKER"",""price"":48}]"
"Desert Eagle | Tilted (Minimal Wear)","Sticker | Imperial Esports (Glitter) | Shanghai 2024","STICKER",44,"","",,"","",,"","",,"[{""name"":""Sticker | Imperial Esports (Glitter) | Shanghai 2024"",""type"":""STICKER"",""price"":44}]"
"Glock-18 | Block-18 (Field-Tested)","Sticker | MOUZ (Glitter) | Shanghai 2024","STICKER",44,"","",,"","",,"","",,"[{""name"":""Sticker | MOUZ (Glitter) | Shanghai 2024"",""type"":""STICKER"",""price"":44}]"
"P250 | X-Ray (Factory New)","Sticker | Go Boom (Glitter)","STICKER",44,"","",,"","",,"","",,"[{""name"":""Sticker | Go Boom (Glitter)"",""type"":""STICKER"",""price"":44}]"
"Desert Eagle | Corinthian (Minimal Wear)","Sticker | forZe eSports (Glitter) | Paris 2023","STICKER",32,"Sticker | paiN Gaming (Glitter) | Paris 2023","STICKER",10,"Sticker | 9INE (Glitter) | Paris 2023","STICKER",21,"Sticker | Monte (Glitter) | Paris 2023","STICKER",14,"[{""name"":""Sticker | forZe eSports (Glitter) | Paris 2023"",""type"":""STICKER"",""price"":32},{""name"":""Sticker | paiN Gaming (Glitter) | Paris 2023"",""type"":""STICKER"",""price"":10},{""name"":""Sticker | 9INE (Glitter) | Paris 2023"",""type"":""STICKER"",""price"":21},{""name"":""Sticker | Monte (Glitter) | Paris 2023"",""type"":""STICKER"",""price"":14}]"
"Glock-18 | Block-18 (Field-Tested)","Sticker | forZe eSports (Glitter) | Paris 2023","STICKER",32,"Sticker | forZe eSports (Glitter) | Paris 2023","STICKER",32,"","",,"","",,"[{""name"":""Sticker | forZe eSports (Glitter) | Paris 2023"",""type"":""STICKER"",""price"":32},{""name"":""Sticker | forZe eSports (Glitter) | Paris 2023"",""type"":""STICKER"",""price"":32}]"
"StatTrak™ Glock-18 | Ironwork (Field-Tested)","Sticker | zont1x (Glitter) | Copenhagen 2024","STICKER",27,"","",,"","",,"","",,"[{""name"":""Sticker | zont1x (Glitter) | Copenhagen 2024"",""type"":""STICKER"",""price"":27}]"
"M4A1-S | Night Terror (Minimal Wear)","Sticker | frozen | Paris 2023","STICKER",10,"Sticker | FaZe Clan (Glitter) | Paris 2023","STICKER",11,"Sticker | Toxic Wave Rider","STICKER",26,"","",,"[{""name"":""Sticker | frozen | Paris 2023"",""type"":""STICKER"",""price"":10},{""name"":""Sticker | FaZe Clan (Glitter) | Paris 2023"",""type"":""STICKER"",""price"":11},{""name"":""Sticker | Toxic Wave Rider"",""type"":""STICKER"",""price"":26}]"
"Desert Eagle | Light Rail (Field-Tested)","Sticker | Virtus.pro (Glitter) | Copenhagen 2024","STICKER",24,"","",,"","",,"","",,"[{""name"":""Sticker | Virtus.pro (Glitter) | Copenhagen 2024"",""type"":""STICKER"",""price"":24}]"
"Desert Eagle | Blue Ply (Minimal Wear)","Sticker | Cloud9 (Glitter) | Rio 2022","STICKER",22,"Sticker | FaZe Clan (Glitter) | Paris 2023","STICKER",11,"Sticker | Team Liquid (Glitter) | Paris 2023","STICKER",10,"Sticker | 910 | Austin 2025","STICKER",10,"[{""name"":""Sticker | Cloud9 (Glitter) | Rio 2022"",""type"":""STICKER"",""price"":22},{""name"":""Sticker | FaZe Clan (Glitter) | Paris 2023"",""type"":""STICKER"",""price"":11},{""name"":""Sticker | Team Liquid (Glitter) | Paris 2023"",""type"":""STICKER"",""price"":10},{""name"":""Sticker | 910 | Austin 2025"",""type"":""STICKER"",""price"":10}]"
"Desert Eagle | Tilted (Minimal Wear)","Sticker | AMKAL ESPORTS (Glitter) | Copenhagen 2024","STICKER",22,"","",,"","",,"","",,"[{""name"":""Sticker | AMKAL ESPORTS (Glitter) | Copenhagen 2024"",""type"":""STICKER"",""price"":22}]"
"Glock-18 | Block-18 (Field-Tested)","Sticker | FURIA (Glitter) | Antwerp 2022","STICKER",22,"Sticker | NickelBack (Glitter) | Copenhagen 2024","STICKER",10,"Sticker | Krad (Glitter) | Paris 2023","STICKER",10,"","",,"[{""name"":""Sticker | FURIA (Glitter) | Antwerp 2022"",""type"":""STICKER"",""price"":22},{""name"":""Sticker | NickelBack (Glitter) | Copenhagen 2024"",""type"":""STICKER"",""price"":10},{""name"":""Sticker | Krad (Glitter) | Paris 2023"",""type"":""STICKER"",""price"":10}]"
"Glock-18 | Block-18 (Field-Tested)","Sticker | From The Deep (Glitter)","STICKER",22,"Sticker | From The Deep (Glitter)","STICKER",22,"Sticker | From The Deep (Glitter)","STICKER",22,"Sticker | From The Deep (Glitter)","STICKER",22,"[{""name"":""Sticker | From The Deep (Glitter)"",""type"":""STICKER"",""price"":22},{""name"":""Sticker | From The Deep (Glitter)"",""type"":""STICKER"",""price"":22},{""name"":""Sticker | From The Deep (Glitter)"",""type"":""STICKER"",""price"":22},{""name"":""Sticker | From The Deep (Glitter)"",""type"":""STICKER"",""price"":22},{""name"":""Sticker | From The Deep (Glitter)"",""type"":""STICKER"",""price"":22}]"
"Glock-18 | Bunsen Burner (Minimal Wear)","Sticker | aNdu (Glitter) | Shanghai 2024","STICKER",22,"","",,"","",,"","",,"[{""name"":""Sticker | aNdu (Glitter) | Shanghai 2024"",""type"":""STICKER"",""price"":22}]"
